"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","confidence","Degree","Eccentricity","IsSingleNode","kingdom","name","NeighborhoodConnectivity","Node_Status","NumberOfDirectedEdges","NumberOfUndirectedEdges","NumChildren","NumDescendents","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","taxonomy","TopologicalCoefficient"
"184","5.56275304","0.0047743","0.1797671","0.0","0.999280553","2","9","false","Bacteria","ac4f244aaddc47599a000dd2a38efe2c","3.0","Clustered","2","0",,,"0","0.5437247","false","0","ac4f244aaddc47599a000dd2a38efe2c","536","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__mb2424; g__; s__","0.5"
"186","4.69230769","0.02482594","0.21311475","0.0","0.999802563","4","8","false","Bacteria","07b4d679c6e07ee7e0339e06402725b8","3.75","Clustered","4","0",,,"0","0.63076923","false","0","07b4d679c6e07ee7e0339e06402725b8","2964","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__Steroidobacter; s__","0.25"
"187","4.64777328","0.03747421","0.21515679","0.0","0.847815478","6","8","false","Bacteria","0a3ba60be50ed540a3b083c436b2b389","3.0","Clustered","6","0",,,"0","0.63522267","false","0","0a3ba60be50ed540a3b083c436b2b389","4260","k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__; f__; g__; s__","0.16666667"
"188","5.00809717","0.01460951","0.19967664","0.0","0.843308933","3","8","false","Bacteria","d1893c4e373cc371e10ae3c37f05cfe6","4.0","Clustered","3","0",,,"0","0.59919028","false","0","d1893c4e373cc371e10ae3c37f05cfe6","1676","k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__; f__; g__; s__","0.33333333"
"189","5.45748988","4.005E-4","0.18323442","0.0","0.999971018","2","8","false","Bacteria","add01a8d7e433235adc9b79e70005c0c","3.0","Clustered","2","0",,,"0","0.55425101","false","0","add01a8d7e433235adc9b79e70005c0c","72","k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae","0.5"
"190","4.81781377","0.00857085","0.20756303","0.0","0.99997054","3","8","false","Bacteria","580a6be2820ebbcd809ac62479fa7f10","3.33333333","Clustered","3","0",,,"0","0.61821862","false","0","580a6be2820ebbcd809ac62479fa7f10","1280","k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae","0.33333333"
"1050","4.84210526","0.03294815","0.20652174","0.0","0.94922097","4","7","false","Fungi","b4a3a693750d6b38d9269b5e6931bf38","3.5","Clustered","4","0",,,"0","0.61578947","false","0","b4a3a693750d6b38d9269b5e6931bf38","3700","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Schizothecium","0.25"
"191","5.11740891","0.01223623","0.19541139","0.0","0.999998902","3","8","false","Bacteria","5871d0a90a0c065777f683353db040ea","3.0","Clustered","3","0",,,"0","0.58825911","false","0","5871d0a90a0c065777f683353db040ea","1422","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__","0.33333333"
"192","5.39271255","0.00596611","0.18543544","0.0","0.999999026","2","8","false","Bacteria","c1eb65565257255bb1e0b72a4eb53653","3.5","Clustered","2","0",,,"0","0.56072874","false","0","c1eb65565257255bb1e0b72a4eb53653","624","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__","0.5"
"1051","4.40080972","0.04045162","0.22723091","0.0","0.910091807","5","8","false","Fungi","70a73c7c25ec580f1bf10f28c9e83915","4.6","Clustered","5","0",,,"0","0.65991903","false","0","70a73c7c25ec580f1bf10f28c9e83915","4944","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_halotolerans","0.2"
"1052","4.94331984","0.03950876","0.2022932","0.0","0.999707351","5","8","false","Fungi","d3a9929b7f662c543c842fe1d62d4144","3.6","Clustered","5","0",,,"0","0.60566802","false","0","d3a9929b7f662c543c842fe1d62d4144","4400","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Cylindrocarpon;s__unidentified","0.2"
"194","4.91902834","0.0097327","0.20329218","0.0","0.999970823","3","8","false","Bacteria","f38c386d39d01853fb1204ee83fb1153","4.66666667","Clustered","3","0",,,"0","0.60809717","false","0","f38c386d39d01853fb1204ee83fb1153","1150","k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae","0.33333333"
"195","4.87044534","0.02163871","0.20532003","0.16666667","0.99372672","4","8","false","Bacteria","9a9a17db275ad1a81b167fb73133ca33","4.0","Clustered","4","0",,,"0","0.61295547","false","0","9a9a17db275ad1a81b167fb73133ca33","2360","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","0.29166667"
"196","5.24291498","0.0040007","0.19073359","0.0","0.999994681","2","9","false","Bacteria","febf1d84f95da418efc85744696182c4","5.5","Clustered","2","0",,,"0","0.5757085","false","0","febf1d84f95da418efc85744696182c4","638","k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__0319-7L14; f__; g__; s__","0.5"
