SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,confidence,Degree,Eccentricity,IsSingleNode,kingdom,name,NeighborhoodConnectivity,Node_Status,NumberOfDirectedEdges,Radiality,selected,SelfLoops,shared name,Stress,taxonomy,TopologicalCoefficient
876,4.72631579,0.02524301,0.21158129,0.33333333,0.957313296,3,9,FALSE,Fungi,c43865450fb33105291dd33c39621029,5.33333333,Clustered,3,0.68947368,FALSE,0,c43865450fb33105291dd33c39621029,1798,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae,0.38461538
880,5.28947368,0.00433341,0.18905473,0,0.946202293,3,9,FALSE,Fungi,ea3a88b1ad879e8cf640539ac5af207b,3.33333333,Clustered,3,0.64254386,FALSE,0,ea3a88b1ad879e8cf640539ac5af207b,392,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_solani,0.38888889
956,5.43684211,0.01130604,0.1839303,0.33333333,0.983723721,3,9,FALSE,Fungi,257017ae5c0a050942341c93b36a1038,3.33333333,Clustered,3,0.63026316,FALSE,0,257017ae5c0a050942341c93b36a1038,658,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tetracladium;s__Tetracladium_furcatum,0.42857143
963,5.30526316,0.01078291,0.18849206,0.33333333,0.746775935,3,9,FALSE,Fungi,ffe6cc828c38abf56461aed3e60b1cee,4,Clustered,3,0.64122807,FALSE,0,ffe6cc828c38abf56461aed3e60b1cee,676,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae;g__Ascotricha;s__Ascotricha_chartarum,0.40740741
1021,5.35789474,0.02135708,0.18664047,0,0.865370397,3,9,FALSE,Fungi,f2e730f0c095b69e468c0c943da93aa1,3.66666667,Clustered,3,0.63684211,FALSE,0,f2e730f0c095b69e468c0c943da93aa1,1182,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__unidentified;g__unidentified;s__unidentified,0.33333333
1047,4.75789474,0.03780178,0.21017699,0,0.977957454,3,8,FALSE,Fungi,efb1ca5fce5e1f1032c2cd96fe6dc238,5,Clustered,3,0.68684211,FALSE,0,efb1ca5fce5e1f1032c2cd96fe6dc238,2744,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__unidentified,0.36363636
1019,5.31052632,0.0300267,0.18830525,0,0.987521465,3,9,FALSE,Fungi,9c92d568cbd3bc1350ac6a0e10df08a9,3.33333333,Clustered,3,0.64078947,FALSE,0,9c92d568cbd3bc1350ac6a0e10df08a9,1742,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Conioscyphales;f__Conioscyphaceae;g__Conioscypha;s__unidentified,0.33333333
1045,5.22631579,0.01565721,0.19133938,0,0.960892164,3,10,FALSE,Fungi,5c89f609e10cdfc12d9b507bccac07b1,3.66666667,Clustered,3,0.64780702,FALSE,0,5c89f609e10cdfc12d9b507bccac07b1,1146,k__Fungi;p__Rozellomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.33333333
184,5.45789474,0.02795264,0.18322083,0,0.999280553,3,10,FALSE,Bacteria,ac4f244aaddc47599a000dd2a38efe2c,3,Clustered,3,0.62850877,FALSE,0,ac4f244aaddc47599a000dd2a38efe2c,1854,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__mb2424; g__; s__,0.33333333
203,5.81052632,0.01440666,0.17210145,0.33333333,0.999974043,3,11,FALSE,Bacteria,41f1529d49318279a172d84038b79ee4,3.66666667,Clustered,3,0.59912281,FALSE,0,41f1529d49318279a172d84038b79ee4,982,k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Nostocales; f__Nostocaceae,0.47619048
