SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,confidence,Degree,Eccentricity,IsSingleNode,kingdom,name,NeighborhoodConnectivity,Node_Status,NumberOfDirectedEdges,NumberOfUndirectedEdges,NumChildren,NumDescendents,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,taxonomy,TopologicalCoefficient
850,5.43421053,0.0067395,0.18401937,0,0.852692951,2,9,FALSE,Fungi,8d7905c6b16a8d64e4b04aa8c3eb7699,3.5,Clustered,2,0,,,0,0.59688995,FALSE,0,8d7905c6b16a8d64e4b04aa8c3eb7699,594,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia;s__Lasiodiplodia_lignicola,0.5
880,4.75877193,0.03182356,0.21013825,0,0.946202293,5,9,FALSE,Fungi,ea3a88b1ad879e8cf640539ac5af207b,3.6,Clustered,5,0,,,0,0.65829346,FALSE,0,ea3a88b1ad879e8cf640539ac5af207b,3466,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_solani,0.2
195,5.17982456,0.00558189,0.19305673,0,0.99372672,2,9,FALSE,Bacteria,9a9a17db275ad1a81b167fb73133ca33,4.5,Clustered,2,0,,,0,0.62001595,FALSE,0,9a9a17db275ad1a81b167fb73133ca33,588,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__,0.5
182,5.17982456,0.01145689,0.19305673,0,0.995107758,3,8,FALSE,Bacteria,9d2e9be9d69dc7205192869ad0117423,3,Clustered,3,0,,,0,0.62001595,FALSE,0,9d2e9be9d69dc7205192869ad0117423,1140,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__,0.33333333
1036,5.24561404,0.0372521,0.19063545,0,0.700378384,5,8,FALSE,Fungi,7f89100f9452b0e3f27d42f0347151a9,2.4,Clustered,5,0,,,0,0.61403509,FALSE,0,7f89100f9452b0e3f27d42f0347151a9,3224,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Boliniales;f__Boliniales_fam_Incertae_sedis;g__Rhexoacrodictys,0.2
184,5.06140351,0.01173377,0.19757366,0,0.999280553,2,9,FALSE,Bacteria,ac4f244aaddc47599a000dd2a38efe2c,4,Clustered,2,0,,,0,0.6307815,FALSE,0,ac4f244aaddc47599a000dd2a38efe2c,972,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__mb2424; g__; s__,0.5
671,4.95614035,0.02201504,0.20176991,0,0.999828874,3,10,FALSE,Bacteria,58e3c48e2395aa29b1e7c713e0938a8d,3.33333333,,3,0,,,0,0.64035088,FALSE,0,58e3c48e2395aa29b1e7c713e0938a8d,1824,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Myxococcaceae; g__; s__,0.33333333
672,5.13157895,0.02092882,0.19487179,0,0.999882464,3,9,FALSE,Bacteria,29b39afd6e8cee4620c8391a09a93db5,3.33333333,,3,0,,,0,0.62440191,FALSE,0,29b39afd6e8cee4620c8391a09a93db5,1748,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Myxococcaceae; g__; s__,0.33333333
1021,5.09649123,0.01290238,0.19621343,0,0.865370397,3,8,FALSE,Fungi,f2e730f0c095b69e468c0c943da93aa1,3.33333333,Clustered,3,0,,,0,0.62759171,FALSE,0,f2e730f0c095b69e468c0c943da93aa1,1258,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__unidentified;g__unidentified;s__unidentified,0.33333333
1050,4.30701754,0.0360834,0.23217923,0,0.94922097,4,8,FALSE,Fungi,b4a3a693750d6b38d9269b5e6931bf38,4.75,Clustered,4,0,,,0,0.69936204,FALSE,0,b4a3a693750d6b38d9269b5e6931bf38,3246,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Schizothecium,0.25
